ID,sex,age,Born in the US? ,num children,Degree,Years of school,Redistribution good,God,Happy,science spending,afterlife
206,female,41,Yes,0,Graduate degree,16,agree,Atheist,not too happy,spending about the right amount,No
207,female,43,Yes,3,High School,12,agree,"Believe, but with some doubts",not too happy,spending too little,Yes
208,female,46,Yes,3,Graduate degree,20,agree,"Believe, but with some doubts",pretty happy,spending too little,Yes
209,male,59,Yes,2,High School,12,agree,Believe without a doubt,Very happy,spending too much,Yes
210,female,67,Yes,1,High School,15,disagree,"Believe, but with some doubts",Very happy,spending too little,Yes
211,male,32,No,2,Less than High School,8,disagree,Believe without a doubt,pretty happy,spending too little,Yes
212,female,29,Yes,0,Bachelors,17,unsure,Believe in god sometimes,pretty happy,spending about the right amount,Yes
213,male,73,Yes,0,Associates,14,unsure,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
214,male,67,Yes,2,High School,14,disagree,"Believe, but with some doubts",pretty happy,spending too little,Yes
215,female,41,Yes,1,Associates,14,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
216,male,51,Yes,2,Graduate degree,19,agree,"Don't know, no way to find out",pretty happy,spending too little,No
217,female,22,Yes,0,Bachelors,16,disagree,"Believe, but with some doubts",pretty happy,spending too little,Yes
218,female,49,Yes,2,Graduate degree,18,disagree,"Believe, but with some doubts",not too happy,spending about the right amount,Yes
219,male,67,Yes,0,Bachelors,18,agree,Atheist,not too happy,spending too little,Yes
220,female,33,Yes,2,Associates,17,agree,Believe without a doubt,pretty happy,spending too little,Yes
221,female,31,Yes,1,Graduate degree,17,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
222,female,74,Yes,2,High School,12,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
223,female,62,Yes,2,High School,12,disagree,Believe without a doubt,pretty happy,spending too little,Yes
224,female,53,Yes,2,Bachelors,16,agree,Believe without a doubt,not too happy,spending too little,Yes
225,female,33,Yes,1,High School,14,agree,Believe without a doubt,Very happy,spending too little,Yes
226,female,53,Yes,0,High School,12,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
227,male,46,Yes,1,Associates,14,agree,"Believe, but with some doubts",not too happy,spending too little,Yes
228,male,72,Yes,3,Graduate degree,18,disagree,"Believe, but with some doubts",pretty happy,spending too little,Yes
229,male,63,Yes,0,Graduate degree,18,agree,Believe without a doubt,Very happy,spending too little,Yes
230,female,70,Yes,2,Associates,14,agree,Believe in god sometimes,pretty happy,spending too little,No
231,female,36,Yes,2,Bachelors,16,agree,Belief in a higher power,pretty happy,spending too little,Yes
232,male,76,Yes,1,Graduate degree,19,disagree,Belief in a higher power,pretty happy,spending too little,No
233,female,69,No,2,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending too little,Yes
234,male,44,Yes,0,Bachelors,16,agree,"Don't know, no way to find out",not too happy,spending too little,No
235,female,43,Yes,3,Graduate degree,20,agree,"Believe, but with some doubts",Very happy,spending too little,Yes
236,female,39,Yes,2,High School,13,agree,Believe without a doubt,pretty happy,spending about the right amount,No
237,female,89,Yes,5,High School,12,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
238,male,28,Yes,0,Bachelors,17,agree,Believe without a doubt,not too happy,spending too little,Yes
239,female,21,Yes,0,High School,12,agree,"Don't know, no way to find out",not too happy,spending too much,No
240,female,56,Yes,0,Associates,15,disagree,Believe without a doubt,pretty happy,spending too little,Yes
241,female,56,Yes,0,Associates,15,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
242,male,37,Yes,2,Associates,14,agree,Belief in a higher power,pretty happy,spending too little,No
243,female,34,Yes,0,High School,12,agree,Atheist,pretty happy,spending about the right amount,Yes
244,male,49,No,3,Bachelors,16,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
245,male,81,Yes,0,Bachelors,16,disagree,"Believe, but with some doubts",Very happy,spending about the right amount,Yes
246,female,70,Yes,0,Bachelors,16,agree,"Don't know, no way to find out",pretty happy,spending about the right amount,No
247,female,76,Yes,1,Bachelors,16,disagree,Belief in a higher power,not too happy,spending too little,No
248,female,66,Yes,2,Associates,13,unsure,Believe without a doubt,pretty happy,spending too much,Yes
249,male,54,Yes,0,High School,12,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
250,female,54,Yes,2,High School,14,unsure,Believe without a doubt,Very happy,spending about the right amount,Yes
251,female,39,Yes,3,High School,12,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
252,female,43,Yes,1,Graduate degree,17,unsure,Believe without a doubt,not too happy,spending about the right amount,Yes
253,female,37,Yes,4,High School,12,unsure,Believe without a doubt,pretty happy,spending too little,Yes
254,female,60,Yes,2,High School,11,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
255,male,71,Yes,1,Bachelors,16,disagree,Believe without a doubt,Very happy,spending too little,Yes
256,female,62,Yes,5,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
257,female,29,Yes,0,Graduate degree,17,agree,Belief in a higher power,Very happy,spending too little,Yes
258,female,50,Yes,2,Graduate degree,18,agree,Believe without a doubt,Very happy,spending too little,Yes
259,female,66,Yes,4,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending too little,Yes
260,female,52,Yes,3,Less than High School,11,agree,Believe without a doubt,not too happy,spending too little,Yes
261,male,65,Yes,2,High School,14,agree,Believe without a doubt,Very happy,spending too little,Yes
262,male,74,Yes,2,High School,12,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
263,female,32,Yes,2,High School,13,agree,"Believe, but with some doubts",pretty happy,spending too much,No
264,female,49,Yes,4,High School,13,disagree,Believe without a doubt,not too happy,spending too little,Yes
265,female,48,Yes,2,Bachelors,16,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
266,male,73,Yes,3,High School,15,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
267,male,69,Yes,2,Graduate degree,19,unsure,Atheist,Very happy,spending too little,No
268,female,30,Yes,1,High School,14,agree,Believe without a doubt,not too happy,spending too little,Yes
269,female,52,Yes,2,High School,12,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
270,male,49,Yes,1,Graduate degree,20,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
271,male,69,Yes,2,High School,11,agree,"Believe, but with some doubts",pretty happy,spending too little,Yes
272,female,65,Yes,1,High School,16,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
273,female,26,Yes,0,High School,13,agree,Atheist,pretty happy,spending about the right amount,Yes
274,male,77,Yes,1,High School,12,disagree,"Don't know, no way to find out",pretty happy,spending about the right amount,No
275,male,69,Yes,3,Associates,16,agree,Atheist,not too happy,spending too little,No
276,male,62,Yes,7,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending too much,Yes
277,female,25,Yes,1,Associates,14,agree,"Believe, but with some doubts",pretty happy,spending too little,Yes
278,male,22,Yes,0,High School,12,disagree,Believe without a doubt,not too happy,spending about the right amount,Yes
279,female,82,Yes,3,Bachelors,17,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
280,female,69,Yes,2,Bachelors,16,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
281,female,69,Yes,3,High School,12,agree,"Believe, but with some doubts",not too happy,spending about the right amount,Yes
282,female,44,Yes,2,High School,14,agree,Believe without a doubt,pretty happy,spending too little,Yes
283,female,61,Yes,2,High School,12,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
284,female,40,Yes,3,Graduate degree,20,agree,Believe without a doubt,Very happy,spending about the right amount,Yes
285,male,75,Yes,2,Graduate degree,16,agree,Believe without a doubt,Very happy,spending too little,Yes
286,female,69,Yes,1,High School,12,disagree,"Believe, but with some doubts",Very happy,spending about the right amount,Yes
287,male,63,Yes,3,Bachelors,16,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
288,male,61,Yes,1,High School,12,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
289,male,89,Yes,1,High School,12,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
290,female,80,Yes,3,Associates,15,agree,"Don't know, no way to find out",not too happy,spending too little,No
291,male,35,Yes,2,High School,12,disagree,"Don't know, no way to find out",pretty happy,spending about the right amount,No
